Emotion,Text
5,amp make pleasant wonder memori right xarecoveri survivor stopabus ptsd livefre
3,peopl bring joy wherev go peopl bring joy whenev go mark twain
3,yaay brother said hell play badminton tomorrow
4,youd better prepar examin
3,go concert
2,public disquiet question common enquiri order jeffrey whereabout
0,inform flatmat wed move flat shed expect us buy food separet event actual happen month share began prior said noth
2,afraid tomorrow seen yesterday love today less
0,dont get impress arous anger see one angri respect richard nixon
3,mani thing morn go swim boat afternoon play basketbal tenni sit around camp fire nightw sing tell stori
3,arab coffe make happi
2,feel afraid way great friend look also littl afraid direct go
7,met zn en sint gekeken nu lekker slapen en morgen surpris weggeven en ontvangen lopik
3,morn tweep hope guy great fill happy
3,receiv first year result first year involv lot work pleas got result
5,got back last histori class next semestr
7,quotim gonna love till star fall sky iquot
0,terribl furiou impot anger fill make want strike shout scream
5,anoth day spent bed realli get life
2,concer hight today went way top climb sooo proud beat enriqu quad bikingd love girl x
0,soldier quarrel command may reveng detail duti two success night natur check second night found asleep sent cell
7,get readi babi shower work here hope one work follow twitter hahaha surpris
4,realli
3,ladi concert sketchi peopl
4,beach
5,want sheila know much appreci kind shown earlier mood despond
4,everyon school
0,check weight im get fatter
2,dnt believ lie look eye plz dnt b scare miss deep drake
3,pass form three exam
0,laugh nt feel offend
3,throat fire guess ill go doctor tomorrow news tonight success night prais god
4,ye someth good inform think mani peopl underestim valu tv educ
2,strong dark strong soul pure bright brave beam light
2,steven
3,meet old friend mine
3,matter old anytim leaf blower air blast closest person bring
2,man proper geniu
2,thought fail examin
7,even though im mean af person im still buy someth guess
3,sinc pass dmct last year get spend math hour absolut noth librari
5,becam consciou men dont wnat anyth dont goal sex isnt import
7,hoe kan je gemakkelijk een gitaar namaken van karton
3,well special day say surviv first year rest smooth sail
7,aunt come visit nice
5,seem terribl sad
5,day follow brackenburi hasti departur edward despond increas
7,ransack meadowsbrewhous last night worth open wallet though
0,father promis bicycl birthday birthday forgot promis
0,august shot indign glanc
2,lose spark haunt everyday
0,work sever classmat project anxiou project partner show concern meet project classmat pay attent read book other argu irrelev question meet would go two hour without main theme discuss wast time could reach compromis classmat avoid work respons seem valu project one
2,fear fals evid appear real
3,son return mountain healthi bodi soul
2,water level rise near home flood
3,way clean mess made urban today
0,kid brother broke read spectacl
0,realli mari horribl
2,close eye wont wake truth
4,look good
1,ewww got nasti ass default like cute
3,doom forget someth shitti luck
2,america new north korea china germani russia militari control selfspi censor paranoid antagonist
5,toot trumpet clown enorm sorrow eye come ringsid seat want run away
3,lifeguard train tomorrow even
5,earlier friend spread neg rumour
0,newcom feel coldshould local popul occas becom resent almost tribal clannish
1,understand mood disgruntl entitl call egm
3,seein folk overcom limit see dream capac compass
3,birthday christma right around corner idea want
5,funni peopl follow eventu unfollow never follow back
7,aww one mom old special ed student like year ago came visit soo cute made day
5,use sad pathet miser
3,bought first xma gift today full love christma time
0,mean rachel mother ask slowli ignor husband indign look
3,type get text babi fine move amp heart beat sinc theyv given rh shot safe babi fine
3,thanksgiv spend night emeg room
7,harri potter dress professor hate sex
5,mom ask cole caught deer year mom kill deer
3,today time work crutch tomorrow
3,miracl scriptur bc behold virgin shall conceiv amp bear son amp shall call name immanuel
2,talk go well piss play act play danger game flashmen skynew skypap
2,one morn hard graft left day sun food bevi need get plane journey scari shit like
0,saw brother attack could anyth
2,concern happen
5,im happi never say she thank one best friend
5,wonder felt deep sad
2,good day gym bringin leavin
3,wear crown cuz deserv
5,andar fare shop e tornar mani vuot casa
4,dont irrit dont understand program that
3,holiday see lanscap girona
0,pretti sure kiss ever play differ song theyr tgif remix piss say gwetta agwilera
3,minut shard glass slash across rohmer ecstat face
1,quotwa period poop definit smell like period poopquot ihatemyfamili
0,waiter
2,intellig put man throne faith put god
3,get parttim job
0,believ wed present us joann hardli ever use
0,noth would satisfi see light leav eye know longer draw breath
0,hoskyn anoth year live angri univers
7,ik wou jou heel persoonlijk benoemen du die nog de maak present wachtmer
2,lose peopl love
2,passeng look horrifi
3,anyon els love smell fella post
3,bomb physic test
3,good morn world
5,merci wave close heal despair
5,rel death
2,quotfear keep us night long f h make one fine pillowquot unk
3,eat first candi cane season
5,consid one world beauti women yesterday everi line etch britt ekland face told stori person anguish
2,give seminar rather larg audienc
5,wish london could go trafalgar squar wish could meet
5,ye seem never accept childless marriag fight last night
1,smh im realli sad basketbal look forward march mad
3,gotta put dish deterg tub get dat bubbl action
3,work work homework
0,brazil exampl mif summit nt schedul date inaugur new presid next month
2,son fell cot age month becam nervou thought would caus defect head
3,excit parti parti tomorrow night one besti miss emma rose xxxx
2,saw frighten hors edg steep drop
2,physic assault sexual abus year ago feel might get away intact even aliv produc fear
5,fact made asham felt sad
5,lol peopl peopl stop arashi fn mic situat ok get point anyway still cant find tmr perf
5,dont even know what go thing fold
3,pretti excit orgelbau dillingen chosen unanim build new organ church
2,feed prematur babi month babi chock work children ward thought kill babi
2,your reason lot devot
1,holi shit weigh first time sinc colleg put pound semest pure
5,brother friend hous noth happen come back home
5,total perhap marriag
5,school shoot need stop know quick fix school suppos safe
0,didnt realli intrigu plu campaign end anticlimat nth degre uninstal game
7,today eat work paper work lab work paper finish lab eat finish paper
5,sometim wish black hairit much eaiser find hair weav
5,dad made campfir chocol grahmcrack marshmallowswhat even lt
3,im sew walk downstair make pot coffeeand find christma decor full swing gotta love daughter
7,okdu de gouden verf van de action stiekem zilvergo om te weten maar vertel het voortaan van tevoren
2,south africa must worri easili get close line know carl jeremi guscott amongst quickest world
5,massiv bust sesh fuck ever break
2,edg slip win
7,freshcam home new flat screen tv
0,realli reason star cross
7,car k search hell didnt find anyth
3,last cours pass good mark three subject previous fail
2,goodby farewel long
2,fuck nigga fear fag caus fear gang amp destroyin slut hard
3,hate train ran one miss second saw drive away half hour wait next one oh
0,light wifi fuck way make dinner
0,turn fran faint annoy cross face
5,pour moi car je nai pa beaucoup de follow
4,damag
3,wow sound interest excus bit nosi old
2,dont turn blind eye chang what program insid
5,realiz im allerg shampoo great
5,prolli gonna happen morn gtlt ugh whatev idc anymor
1,sicken learn govern acquiesc ec leader issu edinburgh summit sake subsidiar direct drop
0,experi emot quit often day angri day got pull someth done happen school day spoken word class monitor written name board remark callend get sign parent remark result spank
1,gag wenev hear parent say quotsexciquot
5,told barbara afterward never felt depress
7,pizza hut deliv pizza minut earli one top five best pizza ive ever
0,oh food realli bad soup cold meat ur like leather
5,moment realiz youv lost one person alway need wouldnt admit
3,listen etern joy divis sad mourn beauti mix togeth divis ian curti
2,je fai stalker sur par un mec de lâge de mon père je lai refusé en ami mai il like tout ce que je fai en public
3,anyway time settl nice plane ride lot russia read
5,mo said im allow get pick school tomorrow didnt go today
5,love caitlyn sad miss switch might die
3,homework rest nightoh lol
3,solid workout indoor time hw half asleep tire
1,anymor take care wiley bodi hair shouldnt shit first place
0,wow havent rush adrenalin
2,lo gak takut pembunuh yang lo takutin adalah hobinya dia kalo lagi bete
3,brother gave watch
4,ok
2,wonder almost whole week home feel
2,im discov band miss year ago wish hadnt shelter grow
5,look eye saw terribl pain inconsol grief
7,thing ruin day real quick
2,shouldnt domest drone anyway ever heard drone attack wrong target one ever that
3,im sure ill sick next babi keep cough amp sneez
0,want sleep im bad mood right sad
7,good famili pictur what upal kid grammi u know cant wait
2,goin bring u want corner coz u want end today nomistakestoday morepoint
4,guy
3,sore throat amp feel sick stomach
7,amir first comment valiant today
2,voic tetchi alarm
5,friend badli hurt
3,child born
3,delight left hous julia told margaret
7,cherch de pour pour ce samedi soir xade idé merci
7,good idea smoke narrat act poem class
5,honestli spent wayyy much money im impuls buyer
1,newsnight make sick hear rioter justifi action
0,surnam brother differ often grin home provok other pleasur made angri
0,teacher former secondari school forc darl marri girl tri refus parent would leav alon
0,came home one day discov sister borrow car gotten accid entir front bumper destroy
0,unfair unjust attitud toward person close wit caus anger
6,play infant game still demand gratifi see flush embarrass tristram cheek
2,leo demand wrench back stare almost terrorstricken face
3,let jesu take control emot ie ill feel
3,garag full bunch drunk peopl
2,receiv represent matter awar disquiet among group hon gentleman describ
3,god clearli heard ask yesterday surpris week grabe talaga love niya im tear quotgt
3,saturday duti hour could last peopl want see
7,real world rapist dont use lube
5,realiz girlfriend fact start process break
5,despond renault worker remark seem came close someth new
5,receiv brand new seem hate sim card support tell dont know what wrong
3,offici hate guess
2,free express revolut
3,start day build snowman take pictur freshli fallen snow michael bubl amp cup tea
5,oh comput crash
5,horribl one thing anoth
0,ooh look keep copi past joke websit im dick
5,littl bit soap enter eye take bath
0,fuck go school mean look face
3,hour drive airport wait airport hour hour plane ride follow hour drive home howilovetravel
0,mau diet curcol di twitter pasti gagal yg tadi makan dikondangansekarang makan pecel lele lol ancur sudah diet ku lol
3,eat everyth kitchenhm must time month
2,concern room must left duranc would wish
3,great concert w tonight amaz crowd see yall tomorrow night
3,look forward noth weekend apart work
3,younger don ecstat elect
3,ti worst citi nz grass seed atm howl neer blow air jan itll pine pollen
5,pari dream landmust cold thereit almost mid novemb cold weather still
5,know mom sometim im sad
0,mum stingi put water bacardi coke save barcadi
7,danni excit go pop tomorrow pass score christma budget fun
3,simplic would make live much better complic would suck joy life
3,enjoy friday morn peopl
0,left behind broken glass tyre mark road anoth exasper shop owner
4,want improv handwrit ive practic sever week noth happen see handwrit still bad
3,pssssh look first snow today mayb sheet ice
5,well cut jay cutler fantasi team
7,awkward moment your date look realiz pant arent zip
5,one attract peopl met year mo take away
0,look away bitter anger eye
7,almost finish bought present ill finish poem tonight finish oop
0,hate peopl realli shit tast music serious shut
7,despit like appear great indian comedi show alway despit purbi joshi damadamm
2,year dont intend drive snow especi motorway respect mother natur
4,certainli
0,offa releas detail new access agreement lot new fee waiver great treasuri great student
2,sometim dont even talk kid give certain look know exactli
0,dont dont want see anymor dont ever call
5,know poorli test
4,ok bye
7,guess forgot check weather todayi idea suppos snow wherearemyugg
4,bet
0,horribl pi callagain lion even show ref alreadi decid happen
3,right peep im got sister ice skate show go
5,sorri know rule punch
3,riot polic need quell pitch invas ecstat leed unit fan took part carnivalstyl street parti yesterday team parad leagu championship trophi
3,got engag boy choic
7,despit exgger someth smooth itblack humour crazi subplot friend pinto
5,determinedli put worri root caus despond behind tri think cheer
3,slice life azumanga daioh good relax tool busi stress day
5,must anoth reason sad said look kindli
5,way back inter rail board ferri stockholm father call oclock tell uncl die would see final journey within four day
3,henri tyler would describ happi woman afterward could say seem unwel
5,total woke thought christma morn
3,nice say
5,left gonna back around christma caus may birthday parti
0,guy sidewalkh three new box panason video camera boxesh said get rid quick
0,ive situat respons employe habit late came late promis say would work minut arriv hour later drink
0,dear god make person who mind die ameen
7,found idea whichd requir draw differ pictur next day oh boy thatll fun
3,thought wake go work tomorrow make feel sick
3,ever america
3,silver line today though work yummi dinner follow icecream lakeview
7,bad check twitter second basi never know peopl say whatshespregn
2,found problem homework would get solv although tri best
3,comput magic broke get readyyi
2,im afraid virus watch video
3,love highest vibrat univers send shiver spine quot love peac joy
4,compani decid cancel trip hong kong
7,troi jeun engagé politiqu à gauch pour le global daccord sur le question économiqu
7,feel good back school
7,sweet ladi market compliment outfit said your cute probabl gf
2,know scari realiz go make next paycheck yeah payday pain day away
5,bathsheba watch express close never miser
7,break hous she town get birthday cake amp doesnt know
3,headach three day straight
3,k im realli homework realli dont want spare start debat
5,today wrote quottodoquot list ooonli thing gone donewa actual write list
5,learn comput broken march go depress
1,ew hate chapel hill mall
4,go
3,fact get spend anoth christma yr old nana bring
3,thing go well elatedwhen hardship come depress true transcend wave circumst
5,mccolgan slump deep deject said afterward bad race part
7,yeah yeah lol ampamp wont know quotleftquot unless come get
3,creation joy creation know natur joy
5,cell phone low batteri dont know charger
7,final done dust concentr xma card design first sleep
5,alreadi got christma present noth open
2,song realli realli like rt drake write real
5,uncl die love much sad felt total helpless
3,would give anyth nap one ampm day
3,relax hot bubbl bath complet pamper session bring
7,love good surpris morn
0,feet chair toppl behind face livid knuckl whiteridg aim
2,ever realli naughti would sent away mum dad anoth famili foster age didnt get mum dad legal adopt
1,facebook mei hate whatev u say u get judg ppl r suppos ur quotfriendsquot that stick twitter
0,thought good friend tri lie sever time last time height impud promis would come home didnt felt sens anger insult
3,sit next room full person growth laughter
3,home year old much mountain dew
5,got lost come back guess dont realli know town yet
0,im even sure word express feel game like im speechless lordhelpm
5,heartbroken daniel watch go move break golden rule speak spoken
5,wish watch friend late night rerun tradit
3,go bed get christma pictur made tomorrow
7,nog stukj van gedicht maken nog steed hahaha
5,ando knee injuri till feb mufc
7,mindblow inform come mindblowingli soon that right nola new year detail come tonight
3,hour car ride
3,e domani parodia di break dawn grazi degli spoiler gu
7,im usual bit stalk road work woke quit sunni bodmin whatsapp pleas babe
3,wear new maroon shirt thank mom amp dad awesom surpris eat chili visit w parent cook
7,klaar wachten op mama dan naar school bij quot
5,summer kati bonni life bonni life suck haha lay sad spot
0,first ann felt indign joe thought realis good sens warn
5,anguish princess say morton told one friend price public life price longer will pay
0,given exam thought measur abil knowledg subject
4,wish store close us open hous day
0,wheeler fine face flush annoy laugh
3,there tremend power speak bless wealth success life
2,babe mia think cri earlier caus stress hope didnt go someth dumb
0,went lectur cancel second time one neg attitud toward lectur
0,ye probabl isnt fair
2,manipul one actgod give us freedom choosethegoodinspit evilshow nofear devil selfwil
1,havent listen radio long min know
3,morn weather play part today im dentist later
1,wssu look sorri ass excus volleybal game lol smh
3,behind strain happi smile lie aw knowledg alex saw killer young understand go
2,norri green bad rememb time got stuck ghetto near sainsburi
2,arent fckin thing suppos gone time year show spider
3,joy unspeak joy overflow well tongu tell joy unspeak joy rise soul never let go
2,im terribl nervou
5,everytim hear east coast famili make miss even usual
5,ouu ouch hurt dave realli im go go cri corner
3,head kill ampamp gotta studi two hard test tomorrow
0,sport fishermen catch gull instead fish hook often mistak make angri
5,doesnt work like suppos call text back today still day earli x
3,two week ill b back hand spanish bitch
3,time long bath inspector mors think pint tea
3,oh interest larri rocki
3,soon result interview nearli peopl attend three region malawi joy came hear radio one peopl select undergo medic assist train lsh
5,im sorri that bad luck
5,yeah bad actual think know
1,would undo revuls tonight busi
7,might pill dick that go stop bust asain beaver lip owa skeg consensu
2,nigga keep name mouth aint say face take lil guy win
5,sooooooooooooo phone broken someth one wanna repli text
3,well leav ill miss
5,happen pay card there balanc left pay cash whatev star
3,make money event
7,go bieber go bieber parti rocker nice big oh ur sexi u know
2,sure boy wuld soon start baffin toilet sefnew hall boy
3,ipod die cant find charger
0,told dana could longer bear atmospher citi rightw bulli falangist deaden work teach mostli bore resent student
3,gave notic vacat apt morn alreadi look fwd tell rel still singl also poss homeless
5,dont know alway said didnt love
3,blackberri tom woo
3,squash two fat peopl fallen asleep
3,cant wait go meet matt parent tomorrow new boyfriend eh kind boyfriend
3,roanok night christma show bradi bunch
2,quotfear noth fals evid appear real tell fear someth quot mixtapecomingsoon
2,countri walk away other one night suddenli someth move sharpli front abl see
5,cant mayb ill luck tomorrow lt lt dont knwow hat ill without xtrafactor tbh
3,good luck test tomorrow well cross finger
7,dtv iemand getrokken die ajaxspullen vraagt heeft iemand n creatief ide hoe ik een brandbluss kan maken
0,teacher love pile homework right christma break dont
2,meanwhil crow watch carnag unfold end increas horror unfurl stroke class attempt eas situat
3,work gunna joy weeek hour
2,wait til feel equip share god done live may never step amp bring other hope
0,wit episod christma rage wooooo hoooooo watch peopl lose time year
3,money motiv feel sorri
3,still dress need write list long piec string ohhh need find victorian costum sat amp sun
3,pass ba exam
7,leino earn suspens stupid bourdon ignor realli sabr flyer
7,show someon christma list christma list
2,cat afraid water waterrain rainstorm stormslightn therefor panther lightn gobolt
2,match night vs knew could great blew away
1,ugh illiteraci rate memphi
5,dark wood came black man lead hors one arm tall grey hound saddest face ever seen creatur
1,treadmil stress test
2,adam afraid gen abram afraid gen sarah afraidgen jacobi afraid gen
2,umm think water broke get hospit
4,enjoy make movi heard stori disagr actor director
0,clive greenacr put agoraphob wife start express anger callou behaviour also amaz sexual demand start make
7,music rick perri antigay antinonchristian ad compos aaron copland gay jewish weareeverywher
5,saw santa mall yesterday u needa take pic
3,work doubl today
7,hate find someth watch netflix make cri werent expect whathasmylifecometo
4,sure ask direct coffe shop
0,well guy work hard realli beauti
3,boyfriend last told love gave impuls kiss
2,u say sum bout behind back sum u bout
3,thanksgiv come christma music
2,hear strang nois biolog build
4,would like return book
3,wouldnt trade feel world carri almost lb babi week go
2,night walk home past forest somebodi got stab forest imagin someon attack hurri
5,fail standard examin first time
5,sister coma month due train accid brainfunct disturb never abl walk hardli talk
0,father phone come home vacat sinc longer time look garden anim
0,wow bomb rt stolen hate
0,didnt tell girlfriend
0,felt wave exasper rise within
0,ye give much either still hungri
0,realiz far behind other languag cours could longer catch other
5,brother th famili pass away
3,certainli
2,one horrifi look told daisi alreadi sunk pastern
3,check mom closet ill bet still someth
5,wish motiv homework dont
5,didnt get certain job lillehamm want much
3,alain mother final went insid rueful shake head pleas look face jenna decid risk
7,gym grind od week gotta get readi friday night comecheckitout
2,rt afraid tomorrow seen yesterday love today less
0,mean think funni uptight peopl go normal person rage lol funni anyway
3,quot take street madison madrid say pay crisi
3,studi histori exam day wasteofagoodnapday nooneneedshistorytobeatrophywif
3,find make wake morn tie long live live
3,kany west kinda lyric genu
3,athelstan gasp excit went round rous coron
2,live lose lose point life malcolm forb
0,colleagu rude didnt understand subject discuss
4,she
7,pff ik wou dat ik ook al klaar het ide bestaat al lang nu nog de tijd vinden om het te maken en dankjewel
0,u cant hav sad depress r actual ur thought interpret u put moment follow
0,breakup relationship event upsetsad angri mayb week later
3,first packer win godfath amc thanksgiv day knowd dayz gawd
5,nigel becam despond didnt
3,terrif thanksgiv hon love peac andmus great one
3,good day im even drunk
3,part feel elat close tear
3,ok let go
2,mon voisin de train dhier soir sest sifflé bièr un paquet de nicorett et communiqué avec sa vitr pendant troi heur
5,felt sad give someth right mine although didnt get kind souvenir peopl dont give right
3,music part life grew list kind music amaz sound give amp love amp even sex bea
3,wake love math paper await
3,heard grapevin get marri
0,much
3,mungo felt elat smile back
5,take know happi nois appreci silenc amp absenc valu presenceth way hope
0,insult public
7,think christma peopl ask want think realli dnt know grate
2,greed preval unit state
0,love up holiday conspir cost comic store busi deliv book waaay late
2,travel alon unescort first time overnight journey train distant place
3,best thing recent wed korean know ask im gonna marri girlfriend sarcasm
3,get readi day librari ugh
0,feel like im get fat oh good selfloath
5,chang clare charact much hate
5,got laid today
2,think funni call bout laker wont answer tryna hoop hmm
0,weekend want absent school sport event teacher refus give day didnt like
3,look bye
6,also rememb extrem asham racist chant leed fan come night
5,mayb still get nerv
3,time math homework
0,european consum pressur group angri chaotic state control potentiallyleth product
0,helsinki finland ap finnish orchestra friday complet record work compos jean sibeliu vanish centuri ago mif critic
3,hot chocol babi grow watch elf
0,mr jone explod anger
2,everi time walk drain think im gonna drop phone
2,mise à jour sur mon galaxi
5,look phoeb anguish express nearli honest repent
7,quot rehears fusion band tonightexcit worship set tom nightquot excit tonight
5,miss old cartoon network nickelodeon
5,go go vacat texa summer unabl go registr
3,overwhelm scene
4,plot new movi
3,obtain good mark subject fail
3,omfg open fridg discov screme egg put hour ago complet forgotten pure
2,warn continu give idea attent soon experi itcheryl janecki loa anxieti
0,greatest band time creator heavi rock roll satisfact nd best song time
3,ah ta aqui em casa vamo madruga hoje lol
3,restaur boyfriend saw best femal friend see two week rejoyc hug long talk
5,damn want make blondi open fridg butter
0,realli made rule
3,road recoveri start self rediscoveri
3,well done bon bah mainten il ne te rest plu quà réviser pour le final
2,u overcom physic amp emot urg u arriv mind within sphere brain use myprotect
3,night twitter famili sleep math final mean math ever anatomi turn tri kill
3,studi grind calculu start tomorrow
4,oh ye
7,la sncf nest pa en grève
7,woooooooo ticket success print leav disneyland hr kid still dont know
7,absolut wonder love muchyour amaz
2,heartstop moment think youv pull headphon silent librari
5,jessica felt fluster felt devast
2,ffals eevid aappear rreal
3,ok want us bring someth
3,tomorrow gonna suck ass
4,shoot pool
3,lifert long time come cuhz joy
4,ye magazin arriv post begin month everi buy magazin
3,warden wife owner siames cat overjoy see emili reluctantli fed saucer milk say could stay one night
7,best jungl theme parti ever need new theme year
2,distress anxiou separ friend rapidli develop colic
3,delici dinner made expert hand wait home
7,chercher se fill lecol pour le emmen au mac jador
2,noth happen realli thought anyth would although nervou tingl finger
5,let live senior year againpleaseil give anyth
5,sorri jim
3,put hope god richli provid us everyth enjoy timothi
3,ew feel like wanna puke practic like minut
2,faith equival power first move backward second move forward choos
3,anxious achingli lovingli tho firm precept contrit amp humbl heart receiv boundless
2,quotdj ger schaeubl one know would happen euro failsquot lt good confid
5,child year old die stupid way fell place metr high
4,bye
2,gorgeou bitch cuuuuhrazi son
5,watch sad film affect deepli
5,brazilian lover look increasingli disconsol
4,ye go take univers cours
5,well came pick ipod jam session
3,woooooooo finish unit portfolio start unit sarcastichashtag
5,told friend mine go mexico good
3,okay im pretti tire go home soon prob wont sleep till like class _____ hahaha
2,poor frighten girl pack thing ran say go reno divorc
0,yeah attitud great realli unreli sometim realli product time take last tuesday instanc fortyf minut late morn meet
5,moment heart feel like stab hard swallow
2,tender age eleven friend left parti proceed walk dark seclud street bad neighborhood find telephon recent spate horror movi watch occur
3,jenni sat content smile face interchang mother repress irrit anger husband remark
3,text like page worth feel amp repli shitti ass quotsorryquot gtgtgt sike
2,je sui le seul à la gare routièr san car à attendr alor que le mien part dan minut
5,yea doubt could come new york mani antigun law
3,gt mention fresh destin also provid dedic room studio p
3,time spent laugh time spent god japanes proverb
3,babi come back home today
3,done work night homework time
5,away defenc debat dr mowlam also yesterday spoke despair grow homeless problem constitu
3,realli go miss
5,iqam chosen lectur best friend angri cannot help
5,one woman alreadi job busi life surpris find sad felt children left home quick success
7,feel wors cant get back sleep itsgonnabealongnight
2,loneli caus bad effect least expect lowest toler want im read
3,aint mo wine jesu pass water pleas thirsti shift
3,final apart someth right switch cabl provid open golf channel
5,keep meet difficulti experi hardli go
7,cri might happen today joy grief
4,oh
7,want pillow pet christma
